precision,metric,accepted,coverage,risk,threshold
q2,dsde,50,0.8333333333333334,0.34,0.2
q2,dsde,51,0.85,0.35294117647058826,0.2
q2,dsde,52,0.8666666666666667,0.36538461538461536,0.21780635106175728
q2,dsde,53,0.8833333333333333,0.37735849056603776,0.2360450626626082
q2,dsde,54,0.9,0.3888888888888889,0.243984375
q2,dsde,55,0.9166666666666666,0.4,0.3280973129992738
q2,dsde,56,0.9333333333333333,0.4107142857142857,0.5210957792207792
q2,dsde,57,0.95,0.42105263157894735,0.6
q2,dsde,58,0.9666666666666667,0.43103448275862066,0.63
q2,dsde,59,0.9833333333333333,0.4406779661016949,0.6666666666666666
q2,dsde,60,1.0,0.45,0.7037582401938285
q2,sde,1,0.016666666666666666,0.0,0.0
q2,sde,2,0.03333333333333333,0.5,0.0
q2,sde,3,0.05,0.3333333333333333,0.0
q2,sde,4,0.06666666666666667,0.5,0.0
q2,sde,5,0.08333333333333333,0.4,0.0
q2,sde,6,0.1,0.3333333333333333,0.0
q2,sde,7,0.11666666666666667,0.2857142857142857,0.0
q2,sde,8,0.13333333333333333,0.25,0.0
q2,sde,9,0.15,0.2222222222222222,0.0
q2,sde,10,0.16666666666666666,0.2,0.0
q2,sde,11,0.18333333333333332,0.18181818181818182,0.0
q2,sde,12,0.2,0.16666666666666666,0.0
q2,sde,13,0.21666666666666667,0.15384615384615385,0.0
q2,sde,14,0.23333333333333334,0.14285714285714285,0.0
q2,sde,15,0.25,0.13333333333333333,0.0
q2,sde,16,0.26666666666666666,0.1875,0.0
q2,sde,17,0.2833333333333333,0.17647058823529413,0.0
q2,sde,18,0.3,0.2222222222222222,0.0
q2,sde,19,0.31666666666666665,0.21052631578947367,0.0
q2,sde,20,0.3333333333333333,0.2,0.0
q2,sde,21,0.35,0.23809523809523808,0.0
q2,sde,22,0.36666666666666664,0.2727272727272727,0.0
q2,sde,23,0.38333333333333336,0.2608695652173913,0.0
q2,sde,24,0.4,0.25,0.0
q2,sde,25,0.4166666666666667,0.24,0.0
q2,sde,26,0.43333333333333335,0.2692307692307692,0.0
q2,sde,27,0.45,0.25925925925925924,0.0
q2,sde,28,0.4666666666666667,0.25,0.0
q2,sde,29,0.48333333333333334,0.2413793103448276,0.0
q2,sde,30,0.5,0.23333333333333334,0.0
q2,sde,31,0.5166666666666667,0.25806451612903225,0.0
q2,sde,32,0.5333333333333333,0.25,0.0
q2,sde,33,0.55,0.24242424242424243,0.0
q2,sde,34,0.5666666666666667,0.23529411764705882,0.0
q2,sde,35,0.5833333333333334,0.22857142857142856,0.0
q2,sde,36,0.6,0.2222222222222222,0.0
q2,sde,37,0.6166666666666667,0.21621621621621623,0.0
