task_id,precision,token_count,mean_nll,median_nll,mean_top1_margin,mean_topk_entropy,worst_decile_nll,status,expected_solution_sha256,generated_solution_sha256,model_sha256
Mbpp/58,q2,39,0.011567025319255556,-0.0,19.184565674329285,0.0319234327477407,0.009847549721598618,matched,799e26a5499bacd87255b3035228a2ab2863780d34a206ef12281c092df46e60,799e26a5499bacd87255b3035228a2ab2863780d34a206ef12281c092df46e60,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/589,q2,137,0.03853301950343383,8.583106136939023e-06,11.733829034325954,0.09179245989936241,0.10176038891077041,matched,c5f6fe001182d7dd8c0f317ed97026de2b04da60fa3a0cfbfe366faf3c5640c5,c5f6fe001182d7dd8c0f317ed97026de2b04da60fa3a0cfbfe366faf3c5640c5,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/599,q2,99,0.04957551249872715,4.768372718899627e-07,13.253164192601476,0.09018535108195899,0.06891131103038786,hash_mismatch,b3c1f981f531a2a0af59c83a4fd5d098960e9030462a6f9ec3b4c99363759cc0,70467065dc60b45dfec72670987c3025861c0fac52a65a53338260433d8fe63a,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/600,q2,21,0.0018752543469621027,2.3841860752327193e-07,15.960078351577371,0.009155610639451188,0.0005741575150750577,matched,2943a7e5ad70cce41140e388c4b2c8db0b69575e2028014cdfb3370a88021a16,2943a7e5ad70cce41140e388c4b2c8db0b69575e2028014cdfb3370a88021a16,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/603,q2,512,0.16620785501530513,0.006298617692664266,6.445360634911562,0.3347128211103605,0.6166140019893647,matched,f5967bb057284c0610dee7a452d6a06b3e320977b7fb99ada693d7034c4f0b29,f5967bb057284c0610dee7a452d6a06b3e320977b7fb99ada693d7034c4f0b29,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/605,q2,83,0.00035901068366307157,-0.0,19.519147213983068,0.0018701344537457544,2.322224991075926e-05,matched,8efb82dac7facf0cf57eca375174892295cb229dc66f7b4a70f352b6640540a4,8efb82dac7facf0cf57eca375174892295cb229dc66f7b4a70f352b6640540a4,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/607,q2,48,0.012504352982926589,3.87430941373168e-06,12.47311360254279,0.04315189880067663,0.03364917077124119,matched,f1562b2e2a3d07c00d3173d99fcba08fd266e8eac9364f42252b1fac1b61b794,f1562b2e2a3d07c00d3173d99fcba08fd266e8eac9364f42252b1fac1b61b794,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/608,q2,512,0.20753102279779526,0.005542750470340252,7.599097622367097,0.3791725925316931,0.7303190171718598,matched,7c680e05ab7cfa57d1be7175c0ad855e1bd476fb0ec71fa342233aa7136b7b86,7c680e05ab7cfa57d1be7175c0ad855e1bd476fb0ec71fa342233aa7136b7b86,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/611,q2,56,0.05934684179971989,1.752392836351646e-05,11.622445284370508,0.1023466271495598,0.2485005483031273,hash_mismatch,34f40303e5653f0fb29f2414c72191214749dbaca7d419207bc41b6dc379c9e8,a6b7fe07d3b1818b4aeb558bc988b689240418331effdcc1659b4127a0864112,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/616,q2,46,0.05802905636387587,7.748606947188819e-07,13.90300881137916,0.07812864731339192,0.10405130177969113,matched,bc3886d2eb4507b276537dd5bc989a35abbdf5e2831ca3bb002e7d1a048181e2,bc3886d2eb4507b276537dd5bc989a35abbdf5e2831ca3bb002e7d1a048181e2,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/622,q2,255,0.05654237459888543,2.145769485650817e-06,12.201338690844565,0.12536508894672613,0.16010242402553554,matched,d220f52918bdfa37f09c86dc9884775c81ef11dd5373a02370e43b83820cbfd9,d220f52918bdfa37f09c86dc9884775c81ef11dd5373a02370e43b83820cbfd9,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/623,q2,23,0.03176053666552261,1.1920935776288388e-06,13.915263127166272,0.0577523698414075,0.02659800164401531,matched,5b96b0821ebcf303b45d0fa66c112f2381db2a807dc8ae884f148291e1e58e1b,5b96b0821ebcf303b45d0fa66c112f2381db2a807dc8ae884f148291e1e58e1b,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/632,q2,101,0.06698179246324043,4.172333774477011e-06,12.382339276286329,0.12887675992265737,0.2595858871936798,matched,9b9c032976614e08cb534660e3b135ac7c95a844cbc2d2c98a95f91c1d9d87b4,9b9c032976614e08cb534660e3b135ac7c95a844cbc2d2c98a95f91c1d9d87b4,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/638,q2,304,0.35396631288720765,0.013185787945985794,5.514433145216851,0.5235865425730121,1.3481249332427978,matched,7786238b893127ed9b2dd13d57eeff8a9a8d7f0220f87df0256ae636afa0eda8,7786238b893127ed9b2dd13d57eeff8a9a8d7f0220f87df0256ae636afa0eda8,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/643,q2,38,0.06927937648474743,0.00010944011955871247,10.121721775252666,0.15155698376771373,0.17513106912374496,matched,fa9b6529830ec90817dab28f37266b169eda7294e11ad8624c72295cdbbd7306,fa9b6529830ec90817dab28f37266b169eda7294e11ad8624c72295cdbbd7306,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/722,q2,64,0.01185813112823153,1.1920930376163597e-07,16.19286368103059,0.025973069823221447,0.0022594629204832012,matched,36b725c3b06892679929bd652755aec374fb1435468d9272ecdc48f1ccbc1458,36b725c3b06892679929bd652755aec374fb1435468d9272ecdc48f1ccbc1458,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/726,q2,44,0.003184972563414848,-0.0,16.90226891528934,0.011119403351355268,0.0005979361223580783,matched,2cb87edfb4cc7456373441a0febe32a44e7af238cd672d3279138825bb8f071b,2cb87edfb4cc7456373441a0febe32a44e7af238cd672d3279138825bb8f071b,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/734,q2,112,0.06696946463455815,8.940700695347914e-07,13.0847052652704,0.13336754628215056,0.29210948348045346,matched,a19f70d6274a74e8948218cb619d33a7936e64a2f66101fbc8db962a341b1234,a19f70d6274a74e8948218cb619d33a7936e64a2f66101fbc8db962a341b1234,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/735,q2,308,0.14203581119531866,0.005879995878785849,6.77252596924038,0.29328868496445976,0.4962982833385467,matched,1c329e1c7482549216ce602c633d31b9f1fb041c7f421461ac4b1cb613db894b,1c329e1c7482549216ce602c633d31b9f1fb041c7f421461ac4b1cb613db894b,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/748,q2,15,0.01370055628348344,0.0002237212611362338,10.21502114184172,0.049071769699299383,0.05635377871803938,matched,984e062b81d95da67aedcc18b40eaff3e7ba6242667bd687a2116e874a89ab14,984e062b81d95da67aedcc18b40eaff3e7ba6242667bd687a2116e874a89ab14,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/749,q2,66,0.03498183385505045,2.67032392002875e-05,11.157495490840247,0.07684726720983197,0.0698528029024601,matched,68ccead60eceab685423305ff30a6eaf1008336a1ffca40bf5462035a291cbc7,68ccead60eceab685423305ff30a6eaf1008336a1ffca40bf5462035a291cbc7,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
Mbpp/75,q2,63,0.014156187949401289,2.3841860752327193e-07,15.42767352750688,0.035004451132560954,0.0018826426472514867,matched,3f55ac6b0beeec69d4853aa71e1707d54952ff94c2e87ae54cdfe0991a0d3c7f,3f55ac6b0beeec69d4853aa71e1707d54952ff94c2e87ae54cdfe0991a0d3c7f,F7ED2F57713AD29E1A4EC093BE0CDF3D7FD31E137E8FD4FC3EDCFD04A5267862
